,p_d,g_d,q_d,g_w
3月30日,166.36,50.04,,0
3月30日,166.36,51.64,,70.082
3月30日,166.36,45.18,,350.142
3月30日,3064.57,24.27,,665.176
3月30日,4071.51,2.8,,665.176
3月30日,4202.85,0,,665.176
3月30日,4071.51,0,,560.12
3月30日,3677.49,0,,560.12
3月30日,3940.17,0,,665.176
3月30日,4027.73,0,,665.176
3月30日,3852.61,0,,665.176
3月30日,3502.37,0,,665.176
3月30日,3502.37,0,,210.112
3月30日,2101.42,0,,210.112
3月30日,1576.07,0,,0
3月30日,1576.07,3.71,,0
3月30日,166.36,11.48,,0
3月30日,166.36,19.58,,0
3月30日,166.36,27.35,,0
3月31日,166.36,35.11,,0
3月31日,166.36,42.86,,0
3月31日,166.36,51.34,,0
3月31日,166.36,61.06,,0
3月31日,166.36,70.16,,0
3月31日,166.36,78.37,,0
3月31日,166.36,85.27,,70.082
3月31日,166.36,81.65,,350.142
3月31日,3064.57,55.9,,665.176
3月31日,4071.51,16.05,,665.176
3月31日,4202.85,0,,665.176
3月31日,4071.51,0,,560.12
3月31日,3677.49,0,,560.12
3月31日,3940.17,0,,665.176
3月31日,4027.73,0,,665.176
3月31日,3852.61,0,,665.176
3月31日,3502.37,0,,665.176
3月31日,3502.37,0,,210.112
3月31日,2101.42,0,,210.112
3月31日,1576.07,6.99,,0
3月31日,1576.07,15.91,,0
3月31日,166.36,20.9,,0
3月31日,166.36,23.35,,0
3月31日,166.36,25.64,,0
4月1日,166.36,0,,0
4月1日,166.36,0,,0
4月1日,166.36,0,,0
4月1日,166.36,0,,0
4月1日,166.36,0,,0
4月1日,166.36,0,,0
4月1日,166.36,0,,70.082
4月1日,166.36,0,,350.142
4月1日,166.36,0,,665.176
4月1日,166.36,0,,665.176
4月1日,166.36,0,,665.176
4月1日,166.36,0,,560.12
4月1日,166.36,0,,560.12
4月1日,166.36,0,,665.176
4月1日,166.36,0,,665.176
4月1日,166.36,0,,665.176
4月1日,166.36,0,,665.176
4月1日,166.36,0,,210.112
4月1日,166.36,0,,210.112
4月1日,166.36,0,,0
4月1日,166.36,0,,0
4月1日,166.36,0,,0
4月1日,166.36,0,,0
4月1日,166.36,0,,0
4月2日,166.36,0,,0
4月2日,166.36,0,,0
4月2日,166.36,0,,0
4月2日,166.36,0,,0
4月2日,166.36,0,,0
4月2日,166.36,0,,0
4月2日,166.36,0,,70.082
4月2日,166.36,0,,350.142
4月2日,166.36,0,,665.176
4月2日,166.36,0,,665.176
4月2日,166.36,0,,665.176
4月2日,166.36,0,,560.12
4月2日,166.36,0,,560.12
4月2日,166.36,0,,665.176
4月2日,166.36,0,,665.176
4月2日,166.36,0,,665.176
4月2日,166.36,0,,665.176
4月2日,166.36,0,,210.112
4月2日,166.36,0,,210.112
4月2日,166.36,0,,0
4月2日,166.36,0,,0
4月2日,166.36,0,,0
4月2日,166.36,0,,0
4月2日,166.36,0,,0
4月3日,166.36,0,,0
4月3日,166.36,0,,0
4月3日,166.36,0,,0
4月3日,166.36,0,,0
4月3日,166.36,0,,0
4月3日,166.36,0,,0
4月3日,166.36,0,,70.082
4月3日,166.36,0,,350.142
4月3日,3064.57,0,,665.176
4月3日,4071.51,0,,665.176
4月3日,4202.85,0,,665.176
4月3日,4071.51,0,,560.12
4月3日,3677.49,0,,560.12
4月3日,3940.17,0,,665.176
4月3日,4027.73,0,,665.176
4月3日,3852.61,0,,665.176
4月3日,3502.37,0,,665.176
4月3日,3502.37,0,,210.112
4月3日,2101.42,0,,210.112
4月3日,1576.07,0,,0
4月3日,1576.07,0,,0
4月3日,166.36,0,,0
4月3日,166.36,0,,0
4月3日,166.36,0,,0
4月4日,166.36,0,,0
4月4日,166.36,0,,0
4月4日,166.36,0,,0
4月4日,166.36,0,,0
4月4日,166.36,0,,0
4月4日,166.36,0,,0
4月4日,166.36,0,,70.082
4月4日,166.36,0,,350.142
4月4日,3064.57,0,,665.176
4月4日,4071.51,0,,665.176
4月4日,4202.85,0,,665.176
4月4日,4071.51,0,,560.12
4月4日,3677.49,0,,560.12
4月4日,3940.17,0,,665.176
4月4日,4027.73,0,,665.176
4月4日,3852.61,0,,665.176
4月4日,3502.37,0,,665.176
4月4日,3502.37,0,,210.112
4月4日,2101.42,0,,210.112
4月4日,1576.07,0,,0
4月4日,1576.07,0,,0
4月4日,166.36,0,,0
4月4日,166.36,0,,0
4月4日,166.36,0,,0
4月5日,166.36,0,,0
4月5日,166.36,0,,0
4月5日,166.36,0,,0
4月5日,166.36,0,,0
4月5日,166.36,0,,0
4月5日,166.36,0,,0
4月5日,166.36,0,,70.082
4月5日,166.36,0,,350.142
4月5日,3064.57,0,,665.176
4月5日,4071.51,0,,665.176
4月5日,4202.85,0,,665.176
4月5日,4071.51,0,,560.12
4月5日,3677.49,0,,560.12
4月5日,3940.17,0,,665.176
4月5日,4027.73,0,,665.176
4月5日,3852.61,0,,665.176
4月5日,3502.37,0,,665.176
4月5日,3502.37,0,,210.112
4月5日,2101.42,0,,210.112
4月5日,1576.07,0,,0
4月5日,1576.07,0,,0
4月5日,166.36,0,,0
4月5日,166.36,0,,0
4月5日,166.36,0,,0
4月6日,166.36,0,,0
4月6日,166.36,0,,0
4月6日,166.36,0,,0
4月6日,166.36,0,,0
4月6日,166.36,0,,0
4月6日,166.36,0,,0
4月6日,166.36,0,,70.082
4月6日,166.36,0,,350.142
4月6日,3064.57,0,,665.176
4月6日,4071.51,0,,665.176
4月6日,4202.85,0,,665.176
4月6日,4071.51,0,,560.12
4月6日,3677.49,0,,560.12
4月6日,3940.17,0,,665.176
4月6日,4027.73,0,,665.176
4月6日,3852.61,0,,665.176
4月6日,3502.37,0,,665.176
4月6日,3502.37,0,,210.112
4月6日,2101.42,0,,210.112
4月6日,1576.07,0,,0
4月6日,1576.07,0,,0
4月6日,166.36,0,,0
4月6日,166.36,0,,0
4月6日,166.36,0,,0
4月7日,166.36,0,,0
4月7日,166.36,0,,0
4月7日,166.36,0,,0
4月7日,166.36,0,,0
4月7日,166.36,0,,0
4月7日,166.36,0,,0
4月7日,166.36,0,,70.082
4月7日,166.36,0,,350.142
4月7日,3064.57,0,,665.176
4月7日,4071.51,0,,665.176
4月7日,4202.85,0,,665.176
4月7日,4071.51,0,,560.12
4月7日,3677.49,0,,560.12
4月7日,3940.17,0,,665.176
4月7日,4027.73,0,,665.176
4月7日,3852.61,0,,665.176
4月7日,3502.37,0,,665.176
4月7日,3502.37,0,,210.112
4月7日,2101.42,0,,210.112
4月7日,1576.07,0,,0
4月7日,1576.07,0,,0
4月7日,166.36,0,,0
4月7日,166.36,0,,0
4月7日,166.36,0,,0
4月8日,166.36,0,,0
4月8日,166.36,0,,0
4月8日,166.36,0,,0
4月8日,166.36,0,,0
4月8日,166.36,0,,0
4月8日,166.36,0,,0
4月8日,166.36,0,,70.082
4月8日,166.36,0,,350.142
4月8日,166.36,0,,665.176
4月8日,166.36,0,,665.176
4月8日,166.36,0,,665.176
4月8日,166.36,0,,560.12
4月8日,166.36,0,,560.12
4月8日,166.36,0,,665.176
4月8日,166.36,0,,665.176
4月8日,166.36,0,,665.176
4月8日,166.36,0,,665.176
4月8日,166.36,0,,210.112
4月8日,166.36,0,,210.112
4月8日,166.36,0,,0
4月8日,166.36,0,,0
4月8日,166.36,0,,0
4月8日,166.36,0,,0
4月8日,166.36,0,,0
4月9日,166.36,0,,0
4月9日,166.36,0,,0
4月9日,166.36,0,,0
4月9日,166.36,0,,0
4月9日,166.36,0,,0
4月9日,166.36,0,,0
4月9日,166.36,0,,70.082
4月9日,166.36,0,,350.142
4月9日,166.36,0,,665.176
4月9日,166.36,0,,665.176
4月9日,166.36,0,,665.176
4月9日,166.36,0,,560.12
4月9日,166.36,0,,560.12
4月9日,166.36,0,,665.176
4月9日,166.36,0,,665.176
4月9日,166.36,0,,665.176
4月9日,166.36,0,,665.176
4月9日,166.36,0,,210.112
4月9日,166.36,0,,210.112
4月9日,166.36,0,,0
4月9日,166.36,0,,0
4月9日,166.36,0,,0
4月9日,166.36,0,,0
4月9日,166.36,0,,0
4月10日,166.36,0,,0
4月10日,166.36,0,,0
4月10日,166.36,0,,0
4月10日,166.36,0,,0
4月10日,166.36,0,,0
4月10日,166.36,0,,0
4月10日,166.36,0,,70.082
4月10日,166.36,0,,350.142
4月10日,3064.57,0,,665.176
4月10日,4071.51,0,,665.176
4月10日,4202.85,0,,665.176
4月10日,4071.51,0,,560.12
4月10日,3677.49,0,,560.12
4月10日,3940.17,0,,665.176
4月10日,4027.73,0,,665.176
4月10日,3852.61,0,,665.176
4月10日,3502.37,0,,665.176
4月10日,3502.37,0,,210.112
4月10日,2101.42,0,,210.112
4月10日,1576.07,0,,0
4月10日,1576.07,0,,0
4月10日,166.36,0,,0
4月10日,166.36,0,,0
4月10日,166.36,0,,0
4月11日,166.36,0,,0
4月11日,166.36,0,,0
4月11日,166.36,0,,0
4月11日,166.36,0,,0
4月11日,166.36,0,,0
4月11日,166.36,0,,0
4月11日,166.36,0,,70.082
4月11日,166.36,0,,350.142
4月11日,3064.57,0,,665.176
4月11日,4071.51,0,,665.176
4月11日,4202.85,0,,665.176
4月11日,4071.51,0,,560.12
4月11日,3677.49,0,,560.12
4月11日,3940.17,0,,665.176
4月11日,4027.73,0,,665.176
4月11日,3852.61,0,,665.176
4月11日,3502.37,0,,665.176
4月11日,3502.37,0,,210.112
4月11日,2101.42,0,,210.112
4月11日,1576.07,0,,0
4月11日,1576.07,0,,0
4月11日,166.36,0,,0
4月11日,166.36,0,,0
4月11日,166.36,0,,0
4月12日,166.36,0,,0
4月12日,166.36,0,,0
4月12日,166.36,0,,0
4月12日,166.36,0,,0
4月12日,166.36,0,,0
4月12日,166.36,0,,0
4月12日,166.36,0,,70.082
4月12日,166.36,0,,350.142
4月12日,3064.57,0,,665.176
4月12日,4071.51,0,,665.176
4月12日,4202.85,0,,665.176
4月12日,4071.51,0,,560.12
4月12日,3677.49,0,,560.12
4月12日,3940.17,0,,665.176
4月12日,4027.73,0,,665.176
4月12日,3852.61,0,,665.176
4月12日,3502.37,0,,665.176
4月12日,3502.37,0,,210.112
4月12日,2101.42,0,,210.112
4月12日,1576.07,0,,0
4月12日,1576.07,0,,0
4月12日,166.36,0,,0
4月12日,166.36,0,,0
4月12日,166.36,0,,0
4月13日,166.36,0,,0
4月13日,166.36,0,,0
4月13日,166.36,0,,0
4月13日,166.36,0,,0
4月13日,166.36,0,,0
4月13日,166.36,0,,0
4月13日,166.36,0,,70.082
4月13日,166.36,0,,350.142
4月13日,3064.57,0,,665.176
4月13日,4071.51,0,,665.176
4月13日,4202.85,0,,665.176
4月13日,4071.51,0,,560.12
4月13日,3677.49,0,,560.12
4月13日,3940.17,0,,665.176
4月13日,4027.73,0,,665.176
4月13日,3852.61,0,,665.176
4月13日,3502.37,0,,665.176
4月13日,3502.37,0,,210.112
4月13日,2101.42,0,,210.112
4月13日,1576.07,0,,0
4月13日,1576.07,0,,0
4月13日,166.36,0,,0
4月13日,166.36,0,,0
4月13日,166.36,0,,0
4月14日,166.36,0,,0
4月14日,166.36,0,,0
4月14日,166.36,0,,0
4月14日,166.36,0,,0
4月14日,166.36,0,,0
4月14日,166.36,0,,0
4月14日,166.36,0,,70.082
4月14日,166.36,0,,350.142
4月14日,3064.57,0,,665.176
4月14日,4071.51,0,,665.176
4月14日,4202.85,0,,665.176
4月14日,4071.51,0,,560.12
4月14日,3677.49,0,,560.12
4月14日,3940.17,0,,665.176
4月14日,4027.73,0,,665.176
4月14日,3852.61,0,,665.176
4月14日,3502.37,0,,665.176
4月14日,3502.37,0,,210.112
4月14日,2101.42,0,,210.112
4月14日,1576.07,0,,0
4月14日,1576.07,0,,0
4月14日,166.36,0,,0
4月14日,166.36,0,,0
4月14日,166.36,0,,0
4月15日,166.36,0,,0
4月15日,166.36,0,,0
4月15日,166.36,0,,0
4月15日,166.36,0,,0
4月15日,166.36,0,,0
4月15日,166.36,0,,0
4月15日,166.36,0,,70.082
4月15日,166.36,0,,350.142
4月15日,166.36,0,,665.176
4月15日,166.36,0,,665.176
4月15日,166.36,0,,665.176
4月15日,166.36,0,,560.12
4月15日,166.36,0,,560.12
4月15日,166.36,0,,665.176
4月15日,166.36,0,,665.176
4月15日,166.36,0,,665.176
4月15日,166.36,0,,665.176
4月15日,166.36,0,,210.112
4月15日,166.36,0,,210.112
4月15日,166.36,0,,0
4月15日,166.36,0,,0
4月15日,166.36,0,,0
4月15日,166.36,0,,0
4月15日,166.36,0,,0
4月16日,166.36,0,,0
4月16日,166.36,0,,0
4月16日,166.36,0,,0
4月16日,166.36,0,,0
4月16日,166.36,0,,0
4月16日,166.36,0,,0
4月16日,166.36,0,,70.082
4月16日,166.36,0,,350.142
4月16日,166.36,0,,665.176
4月16日,166.36,0,,665.176
4月16日,166.36,0,,665.176
4月16日,166.36,0,,560.12
4月16日,166.36,0,,560.12
4月16日,166.36,0,,665.176
4月16日,166.36,0,,665.176
4月16日,166.36,0,,665.176
4月16日,166.36,0,,665.176
4月16日,166.36,0,,210.112
4月16日,166.36,0,,210.112
4月16日,166.36,0,,0
4月16日,166.36,0,,0
4月16日,166.36,0,,0
4月16日,166.36,0,,0
4月16日,166.36,0,,0
4月17日,166.36,0,,0
4月17日,166.36,0,,0
4月17日,166.36,0,,0
4月17日,166.36,0,,0
4月17日,166.36,0,,0
4月17日,166.36,0,,0
4月17日,166.36,0,,70.082
4月17日,166.36,0,,350.142
4月17日,3064.57,0,,665.176
4月17日,4071.51,0,,665.176
4月17日,4202.85,0,,665.176
4月17日,4071.51,0,,560.12
4月17日,3677.49,0,,560.12
4月17日,3940.17,0,,665.176
4月17日,4027.73,0,,665.176
4月17日,3852.61,0,,665.176
4月17日,3502.37,0,,665.176
4月17日,3502.37,0,,210.112
4月17日,2101.42,0,,210.112
4月17日,1576.07,0,,0
4月17日,1576.07,0,,0
4月17日,166.36,0,,0
4月17日,166.36,0,,0
4月17日,166.36,0,,0
4月18日,166.36,0,,0
4月18日,166.36,0,,0
4月18日,166.36,0,,0
4月18日,166.36,0,,0
4月18日,166.36,0,,0
4月18日,166.36,0,,0
4月18日,166.36,0,,70.082
4月18日,166.36,0,,350.142
4月18日,3064.57,0,,665.176
4月18日,4071.51,0,,665.176
4月18日,4202.85,0,,665.176
4月18日,4071.51,0,,560.12
4月18日,3677.49,0,,560.12
4月18日,3940.17,0,,665.176
4月18日,4027.73,0,,665.176
4月18日,3852.61,0,,665.176
4月18日,3502.37,0,,665.176
4月18日,3502.37,0,,210.112
4月18日,2101.42,0,,210.112
4月18日,1576.07,0,,0
4月18日,1576.07,0,,0
4月18日,166.36,0,,0
4月18日,166.36,0,,0
4月18日,166.36,0,,0
4月19日,166.36,0,,0
4月19日,166.36,0,,0
4月19日,166.36,0,,0
4月19日,166.36,0,,0
4月19日,166.36,0,,0
4月19日,166.36,0,,0
4月19日,166.36,0,,70.082
4月19日,166.36,0,,350.142
4月19日,3064.57,0,,665.176
4月19日,4071.51,0,,665.176
4月19日,4202.85,0,,665.176
4月19日,4071.51,0,,560.12
4月19日,3677.49,0,,560.12
4月19日,3940.17,0,,665.176
4月19日,4027.73,0,,665.176
4月19日,3852.61,0,,665.176
4月19日,3502.37,0,,665.176
4月19日,3502.37,0,,210.112
4月19日,2101.42,0,,210.112
4月19日,1576.07,0,,0
4月19日,1576.07,0,,0
4月19日,166.36,0,,0
4月19日,166.36,0,,0
4月19日,166.36,0,,0
4月20日,166.36,0,,0
4月20日,166.36,0,,0
4月20日,166.36,0,,0
4月20日,166.36,0,,0
4月20日,166.36,0,,0
4月20日,166.36,0,,0
4月20日,166.36,0,,70.082
4月20日,166.36,0,,350.142
4月20日,3064.57,0,,665.176
4月20日,4071.51,0,,665.176
4月20日,4202.85,0,,665.176
4月20日,4071.51,0,,560.12
4月20日,3677.49,0,,560.12
4月20日,3940.17,0,,665.176
4月20日,4027.73,0,,665.176
4月20日,3852.61,0,,665.176
4月20日,3502.37,0,,665.176
4月20日,3502.37,0,,210.112
4月20日,2101.42,0,,210.112
4月20日,1576.07,0,,0
4月20日,1576.07,0,,0
4月20日,166.36,0,,0
4月20日,166.36,0,,0
4月20日,166.36,0,,0
4月21日,166.36,0,,0
4月21日,166.36,0,,0
4月21日,166.36,0,,0
4月21日,166.36,0,,0
4月21日,166.36,0,,0
4月21日,166.36,0,,0
4月21日,166.36,0,,70.082
4月21日,166.36,0,,350.142
4月21日,3064.57,0,,665.176
4月21日,4071.51,0,,665.176
4月21日,4202.85,0,,665.176
4月21日,4071.51,0,,560.12
4月21日,3677.49,0,,560.12
4月21日,3940.17,0,,665.176
4月21日,4027.73,0,,665.176
4月21日,3852.61,0,,665.176
4月21日,3502.37,0,,665.176
4月21日,3502.37,0,,210.112
4月21日,2101.42,0,,210.112
4月21日,1576.07,0,,0
4月21日,1576.07,0,,0
4月21日,166.36,0,,0
4月21日,166.36,0,,0
4月21日,166.36,0,,0
4月22日,166.36,0,,0
4月22日,166.36,0,,0
4月22日,166.36,0,,0
4月22日,166.36,0,,0
4月22日,166.36,0,,0
4月22日,166.36,0,,0
4月22日,166.36,0,,70.082
4月22日,166.36,0,,350.142
4月22日,166.36,0,,665.176
4月22日,166.36,0,,665.176
4月22日,166.36,0,,665.176
4月22日,166.36,0,,560.12
4月22日,166.36,0,,560.12
4月22日,166.36,0,,665.176
4月22日,166.36,0,,665.176
4月22日,166.36,0,,665.176
4月22日,166.36,0,,665.176
4月22日,166.36,0,,210.112
4月22日,166.36,0,,210.112
4月22日,166.36,0,,0
4月22日,166.36,0,,0
4月22日,166.36,0,,0
4月22日,166.36,0,,0
4月22日,166.36,0,,0
4月23日,166.36,0,,0
4月23日,166.36,0,,0
4月23日,166.36,0,,0
4月23日,166.36,0,,0
4月23日,166.36,0,,0
4月23日,166.36,0,,0
4月23日,166.36,0,,70.082
4月23日,166.36,0,,350.142
4月23日,166.36,0,,665.176
4月23日,166.36,0,,665.176
4月23日,166.36,0,,665.176
4月23日,166.36,0,,560.12
4月23日,166.36,0,,560.12
4月23日,166.36,0,,665.176
4月23日,166.36,0,,665.176
4月23日,166.36,0,,665.176
4月23日,166.36,0,,665.176
4月23日,166.36,0,,210.112
4月23日,166.36,0,,210.112
4月23日,166.36,0,,0
4月23日,166.36,0,,0
4月23日,166.36,0,,0
4月23日,166.36,0,,0
4月23日,166.36,0,,0
4月24日,166.36,0,,0
4月24日,166.36,0,,0
4月24日,166.36,0,,0
4月24日,166.36,0,,0
4月24日,166.36,0,,0
4月24日,166.36,0,,0
4月24日,166.36,0,,70.082
4月24日,166.36,0,,350.142
4月24日,3064.57,0,,665.176
4月24日,4071.51,0,,665.176
4月24日,4202.85,0,,665.176
4月24日,4071.51,0,,560.12
4月24日,3677.49,0,,560.12
4月24日,3940.17,0,,665.176
4月24日,4027.73,0,,665.176
4月24日,3852.61,0,,665.176
4月24日,3502.37,0,,665.176
4月24日,3502.37,0,,210.112
4月24日,2101.42,0,,210.112
4月24日,1576.07,0,,0
4月24日,1576.07,0,,0
4月24日,166.36,0,,0
4月24日,166.36,0,,0
4月24日,166.36,0,,0
4月25日,166.36,0,,0
4月25日,166.36,0,,0
4月25日,166.36,0,,0
4月25日,166.36,0,,0
4月25日,166.36,0,,0
4月25日,166.36,0,,0
4月25日,166.36,0,,70.082
4月25日,166.36,0,,350.142
4月25日,3064.57,0,,665.176
4月25日,4071.51,0,,665.176
4月25日,4202.85,0,,665.176
4月25日,4071.51,0,,560.12
4月25日,3677.49,0,,560.12
4月25日,3940.17,0,,665.176
4月25日,4027.73,0,,665.176
4月25日,3852.61,0,,665.176
4月25日,3502.37,0,,665.176
4月25日,3502.37,0,,210.112
4月25日,2101.42,0,,210.112
4月25日,1576.07,0,,0
4月25日,1576.07,0,,0
4月25日,166.36,0,,0
4月25日,166.36,0,,0
4月25日,166.36,0,,0
4月26日,166.36,0,,0
4月26日,166.36,0,,0
4月26日,166.36,0,,0
4月26日,166.36,0,,0
4月26日,166.36,0,,0
4月26日,166.36,0,,0
4月26日,166.36,0,,70.082
4月26日,166.36,0,,350.142
4月26日,3064.57,0,,665.176
4月26日,4071.51,0,,665.176
4月26日,4202.85,0,,665.176
4月26日,4071.51,0,,560.12
4月26日,3677.49,0,,560.12
4月26日,3940.17,0,,665.176
4月26日,4027.73,0,,665.176
4月26日,3852.61,0,,665.176
4月26日,3502.37,0,,665.176
4月26日,3502.37,0,,210.112
4月26日,2101.42,0,,210.112
4月26日,1576.07,0,,0
4月26日,1576.07,0,,0
4月26日,166.36,0,,0
4月26日,166.36,0,,0
4月26日,166.36,0,,0
4月27日,166.36,0,,0
4月27日,166.36,0,,0
4月27日,166.36,0,,0
4月27日,166.36,0,,0
4月27日,166.36,0,,0
4月27日,166.36,0,,0
4月27日,166.36,0,,70.082
4月27日,166.36,0,,350.142
4月27日,3064.57,0,,665.176
4月27日,4071.51,0,,665.176
4月27日,4202.85,0,,665.176
4月27日,4071.51,0,,560.12
4月27日,3677.49,0,,560.12
4月27日,3940.17,0,,665.176
4月27日,4027.73,0,,665.176
4月27日,3852.61,0,,665.176
4月27日,3502.37,0,,665.176
4月27日,3502.37,0,,210.112
4月27日,2101.42,0,,210.112
4月27日,1576.07,0,,0
4月27日,1576.07,0,,0
4月27日,166.36,0,,0
4月27日,166.36,0,,0
4月27日,166.36,0,,0
4月28日,166.36,0,,0
4月28日,166.36,0,,0
4月28日,166.36,0,,0
4月28日,166.36,0,,0
4月28日,166.36,0,,0
4月28日,166.36,0,,0
4月28日,166.36,0,,70.082
4月28日,166.36,0,,350.142
4月28日,3064.57,0,,665.176
4月28日,4071.51,0,,665.176
4月28日,4202.85,0,,665.176
4月28日,4071.51,0,,560.12
4月28日,3677.49,0,,560.12
4月28日,3940.17,0,,665.176
4月28日,4027.73,0,,665.176
4月28日,3852.61,0,,665.176
4月28日,3502.37,0,,665.176
4月28日,3502.37,0,,210.112
4月28日,2101.42,0,,210.112
4月28日,1576.07,0,,0
4月28日,1576.07,0,,0
4月28日,166.36,0,,0
4月28日,166.36,0,,0
4月28日,166.36,0,,0
4月29日,166.36,0,,0
4月29日,166.36,0,,0
4月29日,166.36,0,,0
4月29日,166.36,0,,0
4月29日,166.36,0,,0
4月29日,166.36,0,,0
4月29日,166.36,0,,70.082
4月29日,166.36,0,,350.142
4月29日,166.36,0,,665.176
4月29日,166.36,0,,665.176
4月29日,166.36,0,,665.176
4月29日,166.36,0,,560.12
4月29日,166.36,0,,560.12
4月29日,166.36,0,,665.176
4月29日,166.36,0,,665.176
4月29日,166.36,0,,665.176
4月29日,166.36,0,,665.176
4月29日,166.36,0,,210.112
4月29日,166.36,0,,210.112
4月29日,166.36,0,,0
4月29日,166.36,0,,0
4月29日,166.36,0,,0
4月29日,166.36,0,,0
4月29日,166.36,0,,0
4月30日,166.36,0,,0
4月30日,166.36,0,,0
4月30日,166.36,0,,0
4月30日,166.36,0,,0
4月30日,166.36,0,,0
4月30日,166.36,0,,0
4月30日,166.36,0,,70.082
4月30日,166.36,0,,350.142
4月30日,166.36,0,,665.176
4月30日,166.36,0,,665.176
4月30日,166.36,0,,665.176
4月30日,166.36,0,,560.12
4月30日,166.36,0,,560.12
4月30日,166.36,0,,665.176
4月30日,166.36,0,,665.176
4月30日,166.36,0,,665.176
4月30日,166.36,0,,665.176
4月30日,166.36,0,,210.112
4月30日,166.36,0,,210.112
4月30日,166.36,0,,0
4月30日,166.36,0,,0
4月30日,166.36,0,,0
4月30日,166.36,0,,0
4月30日,166.36,0,,0
5月1日,166.36,0,,0
5月1日,166.36,0,,0
5月1日,166.36,0,,0
5月1日,166.36,0,,0
5月1日,166.36,0,,0
5月1日,166.36,0,,0
5月1日,166.36,0,,70.082
5月1日,166.36,0,,350.142
5月1日,3064.57,0,,665.176
5月1日,4071.51,0,,665.176
5月1日,4202.85,0,,665.176
5月1日,4071.51,0,,560.12
5月1日,3677.49,0,,560.12
5月1日,3940.17,0,,665.176
5月1日,4027.73,0,,665.176
5月1日,3852.61,0,,665.176
5月1日,3502.37,0,,665.176
5月1日,3502.37,0,,210.112
5月1日,2101.42,0,,210.112
5月1日,1576.07,0,,0
5月1日,1576.07,0,,0
5月1日,166.36,0,,0
5月1日,166.36,0,,0
5月1日,166.36,0,,0
5月2日,166.36,0,,0
5月2日,166.36,0,,0
5月2日,166.36,0,,0
5月2日,166.36,0,,0
5月2日,166.36,0,,0
5月2日,166.36,0,,0
5月2日,166.36,0,,70.082
5月2日,166.36,0,,350.142
5月2日,3064.57,0,,665.176
5月2日,4071.51,0,,665.176
5月2日,4202.85,0,,665.176
5月2日,4071.51,0,,560.12
5月2日,3677.49,0,,560.12
5月2日,3940.17,0,,665.176
5月2日,4027.73,0,,665.176
5月2日,3852.61,0,,665.176
5月2日,3502.37,0,,665.176
5月2日,3502.37,0,,210.112
5月2日,2101.42,0,,210.112
5月2日,1576.07,0,,0
5月2日,1576.07,0,,0
5月2日,166.36,0,,0
5月2日,166.36,0,,0
5月2日,166.36,0,,0
5月3日,166.36,0,,0
5月3日,166.36,0,,0
5月3日,166.36,0,,0
5月3日,166.36,0,,0
5月3日,166.36,0,,0
5月3日,166.36,0,,0
5月3日,166.36,0,,70.082
5月3日,166.36,0,,350.142
5月3日,3064.57,0,,665.176
5月3日,4071.51,0,,665.176
5月3日,4202.85,0,,665.176
5月3日,4071.51,0,,560.12
5月3日,3677.49,0,,560.12
5月3日,3940.17,0,,665.176
5月3日,4027.73,0,,665.176
5月3日,3852.61,0,,665.176
5月3日,3502.37,0,,665.176
5月3日,3502.37,0,,210.112
5月3日,2101.42,0,,210.112
5月3日,1576.07,0,,0
5月3日,1576.07,0,,0
5月3日,166.36,0,,0
5月3日,166.36,0,,0
5月3日,166.36,0,,0
5月4日,166.36,0,,0
5月4日,166.36,0,,0
5月4日,166.36,0,,0
5月4日,166.36,0,,0
5月4日,166.36,0,,0
5月4日,166.36,0,,0
5月4日,166.36,0,,70.082
5月4日,166.36,0,,350.142
5月4日,3064.57,0,,665.176
5月4日,4071.51,0,,665.176
5月4日,4202.85,0,,665.176
5月4日,4071.51,0,,560.12
5月4日,3677.49,0,,560.12
5月4日,3940.17,0,,665.176
5月4日,4027.73,0,,665.176
5月4日,3852.61,0,,665.176
5月4日,3502.37,0,,665.176
5月4日,3502.37,0,,210.112
5月4日,2101.42,0,,210.112
5月4日,1576.07,0,,0
5月4日,1576.07,0,,0
5月4日,166.36,0,,0
5月4日,166.36,0,,0
5月4日,166.36,0,,0
5月5日,166.36,0,,0
5月5日,166.36,0,,0
5月5日,166.36,0,,0
5月5日,166.36,0,,0
5月5日,166.36,0,,0
5月5日,166.36,0,,0
5月5日,166.36,0,,70.082
5月5日,166.36,0,,350.142
5月5日,3064.57,0,,665.176
5月5日,4071.51,0,,665.176
5月5日,4202.85,0,,665.176
5月5日,4071.51,0,,560.12
5月5日,3677.49,0,,560.12
5月5日,3940.17,0,,665.176
5月5日,4027.73,0,,665.176
5月5日,3852.61,0,,665.176
5月5日,3502.37,0,,665.176
5月5日,3502.37,0,,210.112
5月5日,2101.42,0,,210.112
5月5日,1576.07,0,,0
5月5日,1576.07,0,,0
5月5日,166.36,0,,0
5月5日,166.36,0,,0
5月5日,166.36,0,,0
5月6日,166.36,0,,0
5月6日,166.36,0,,0
5月6日,166.36,0,,0
5月6日,166.36,0,,0
5月6日,166.36,0,,0
5月6日,166.36,0,,0
5月6日,166.36,0,,70.082
5月6日,166.36,0,,350.142
5月6日,166.36,0,,665.176
5月6日,166.36,0,,665.176
5月6日,166.36,0,,665.176
5月6日,166.36,0,,560.12
5月6日,166.36,0,,560.12
5月6日,166.36,0,,665.176
5月6日,166.36,0,,665.176
5月6日,166.36,0,,665.176
5月6日,166.36,0,,665.176
