,p_d,g_d,q_d,g_w
1月8日,166.36,3439.23,,350.142
1月8日,166.36,3658.75,,665.176
1月8日,166.36,2425.83,,665.176
1月8日,166.36,1564.13,,665.176
1月8日,166.36,955.01,,560.12
1月8日,166.36,165.3,,560.12
1月8日,166.36,29.74,,665.176
1月8日,166.36,13.21,,665.176
1月8日,166.36,11.06,,665.176
1月8日,166.36,57.34,,665.176
1月8日,166.36,535.47,,210.112
1月8日,166.36,438.18,,210.112
1月8日,166.36,640.58,,0
1月8日,166.36,740.43,,0
1月8日,166.36,622.73,,0
1月8日,166.36,705.59,,0
1月8日,166.36,826.72,,0
1月9日,166.36,965.15,,0
1月9日,166.36,1082.34,,0
1月9日,166.36,1134.5,,0
1月9日,166.36,1192.66,,0
1月9日,166.36,1279.33,,0
1月9日,166.36,1372.92,,0
1月9日,166.36,4155.29,,70.082
1月9日,166.36,4273.44,,350.142
1月9日,3064.57,4423.97,,665.176
1月9日,4071.51,4245.17,,665.176
1月9日,4202.85,3050.52,,665.176
1月9日,4071.51,1660,,560.12
1月9日,3677.49,2507.91,,560.12
1月9日,3940.17,1321.2,,665.176
1月9日,4027.73,1853.5,,665.176
1月9日,3852.61,1126.08,,665.176
1月9日,3502.37,1934.19,,665.176
1月9日,3502.37,2487.23,,210.112
1月9日,2101.42,1083.74,,210.112
1月9日,1576.07,1167.62,,0
1月9日,1576.07,1234.62,,0
1月9日,166.36,1101.8,,0
1月9日,166.36,1168.75,,0
1月9日,166.36,1236.33,,0
1月10日,166.36,1293.97,,0
1月10日,166.36,1367.54,,0
1月10日,166.36,1430.73,,0
1月10日,166.36,1492.52,,0
1月10日,166.36,1542.99,,0
1月10日,166.36,1597,,0
1月10日,166.36,4493.91,,70.082
1月10日,166.36,4543.84,,350.142
1月10日,3064.57,4702.03,,665.176
1月10日,4071.51,3392.75,,665.176
1月10日,4202.85,1272.63,,665.176
1月10日,4071.51,1071.6,,560.12
1月10日,3677.49,1941.61,,560.12
1月10日,3940.17,870.84,,665.176
1月10日,4027.73,466.78,,665.176
1月10日,3852.61,975.47,,665.176
1月10日,3502.37,730.12,,665.176
1月10日,3502.37,1520.33,,210.112
1月10日,2101.42,913.38,,210.112
1月10日,1576.07,1048.26,,0
1月10日,1576.07,1157.08,,0
1月10日,166.36,1041.51,,0
1月10日,166.36,1122.56,,0
1月10日,166.36,1190.59,,0
1月11日,166.36,1241.2,,0
1月11日,166.36,1286.02,,0
1月11日,166.36,1319.52,,0
1月11日,166.36,1365.15,,0
1月11日,166.36,1379.92,,0
1月11日,166.36,1419.07,,0
1月11日,166.36,3930.89,,70.082
1月11日,166.36,4008.4,,350.142
1月11日,3064.57,3914.44,,665.176
1月11日,4071.51,2677.21,,665.176
1月11日,4202.85,1183.5,,665.176
1月11日,4071.51,683.34,,560.12
1月11日,3677.49,515.62,,560.12
1月11日,3940.17,890.3,,665.176
1月11日,4027.73,462.15,,665.176
1月11日,3852.61,321.39,,665.176
1月11日,3502.37,387.91,,665.176
1月11日,3502.37,1054.79,,210.112
1月11日,2101.42,688.47,,210.112
1月11日,1576.07,804.51,,0
1月11日,1576.07,930.25,,0
1月11日,166.36,832.22,,0
1月11日,166.36,888.69,,0
1月11日,166.36,940.46,,0
1月12日,166.36,1004.43,,0
1月12日,166.36,1057.54,,0
1月12日,166.36,1131.05,,0
1月12日,166.36,1213.14,,0
1月12日,166.36,1308.82,,0
1月12日,166.36,1391.66,,0
1月12日,166.36,4066.06,,70.082
1月12日,166.36,4171.6,,350.142
1月12日,3064.57,4227.61,,665.176
1月12日,4071.51,4005.99,,665.176
1月12日,4202.85,2374.75,,665.176
1月12日,4071.51,830.35,,560.12
1月12日,3677.49,626.64,,560.12
1月12日,3940.17,485.15,,665.176
1月12日,4027.73,396.27,,665.176
1月12日,3852.61,389.55,,665.176
1月12日,3502.37,477.27,,665.176
1月12日,3502.37,929.21,,210.112
1月12日,2101.42,585.97,,210.112
1月12日,1576.07,836.85,,0
1月12日,1576.07,973.26,,0
1月12日,166.36,882.07,,0
1月12日,166.36,978.77,,0
1月12日,166.36,1061.3,,0
1月13日,166.36,1143.6,,0
1月13日,166.36,1217.18,,0
1月13日,166.36,1286.66,,0
1月13日,166.36,1371.82,,0
1月13日,166.36,1447.52,,0
1月13日,166.36,1526.79,,0
1月13日,166.36,4493.35,,70.082
1月13日,166.36,4566.62,,350.142
1月13日,3064.57,4707.04,,665.176
1月13日,4071.51,3586.36,,665.176
1月13日,4202.85,3480.07,,665.176
1月13日,4071.51,1779.85,,560.12
1月13日,3677.49,723.83,,560.12
1月13日,3940.17,514.49,,665.176
1月13日,4027.73,426.21,,665.176
1月13日,3852.61,416.15,,665.176
1月13日,3502.37,503.83,,665.176
1月13日,3502.37,991.99,,210.112
1月13日,2101.42,683.16,,210.112
1月13日,1576.07,915.25,,0
1月13日,1576.07,1085.58,,0
1月13日,166.36,987.87,,0
1月13日,166.36,1078.84,,0
1月13日,166.36,1149.31,,0
1月14日,166.36,1222.59,,0
1月14日,166.36,1289.46,,0
1月14日,166.36,1366.74,,0
1月14日,166.36,1427.96,,0
1月14日,166.36,1499.64,,0
1月14日,166.36,1553.87,,0
1月14日,166.36,3838.08,,70.082
1月14日,166.36,3917.28,,350.142
1月14日,166.36,3972.89,,665.176
1月14日,166.36,2293.02,,665.176
1月14日,166.36,945.69,,665.176
1月14日,166.36,1822.69,,560.12
1月14日,166.36,531.07,,560.12
1月14日,166.36,639.01,,665.176
1月14日,166.36,150.5,,665.176
1月14日,166.36,404.39,,665.176
1月14日,166.36,860.87,,665.176
1月14日,166.36,1071.27,,210.112
1月14日,166.36,821.58,,210.112
1月14日,166.36,1004.57,,0
1月14日,166.36,1098.94,,0
1月14日,166.36,972.88,,0
1月14日,166.36,1025.08,,0
1月14日,166.36,1062.36,,0
1月15日,166.36,1094.53,,0
1月15日,166.36,1137.74,,0
1月15日,166.36,1180.4,,0
1月15日,166.36,1237.35,,0
1月15日,166.36,1303.31,,0
1月15日,166.36,1377.81,,0
1月15日,166.36,3416.87,,70.082
1月15日,166.36,3481.27,,350.142
1月15日,166.36,3556.47,,665.176
1月15日,166.36,3429.42,,665.176
1月15日,166.36,2087.96,,665.176
1月15日,166.36,331.08,,560.12
1月15日,166.36,202.67,,560.12
1月15日,166.36,81.72,,665.176
1月15日,166.36,22.75,,665.176
1月15日,166.36,234.45,,665.176
1月15日,166.36,136.78,,665.176
1月15日,166.36,385.47,,210.112
1月15日,166.36,532.14,,210.112
1月15日,166.36,794.25,,0
1月15日,166.36,927.7,,0
1月15日,166.36,862.06,,0
1月15日,166.36,948.77,,0
1月15日,166.36,1012.09,,0
1月16日,166.36,1072.02,,0
1月16日,166.36,1132.82,,0
1月16日,166.36,1195.63,,0
1月16日,166.36,1260.71,,0
1月16日,166.36,1344.68,,0
1月16日,166.36,1412.11,,0
1月16日,166.36,4121.55,,70.082
1月16日,166.36,4220.48,,350.142
1月16日,3064.57,4274.84,,665.176
1月16日,4071.51,3968.24,,665.176
1月16日,4202.85,3454.91,,665.176
1月16日,4071.51,1451.42,,560.12
1月16日,3677.49,526.49,,560.12
1月16日,3940.17,393.5,,665.176
1月16日,4027.73,630.5,,665.176
1月16日,3852.61,360.06,,665.176
1月16日,3502.37,330.6,,665.176
1月16日,3502.37,857.67,,210.112
1月16日,2101.42,588.74,,210.112
1月16日,1576.07,771.89,,0
1月16日,1576.07,906.82,,0
1月16日,166.36,820,,0
1月16日,166.36,895.79,,0
1月16日,166.36,938.11,,0
1月17日,166.36,995.35,,0
1月17日,166.36,1045.41,,0
1月17日,166.36,1103.73,,0
1月17日,166.36,1172.64,,0
1月17日,166.36,1258.37,,0
1月17日,166.36,1332.73,,0
1月17日,166.36,3913.7,,70.082
1月17日,166.36,4027.69,,350.142
1月17日,3064.57,4106.4,,665.176
1月17日,4071.51,2328.81,,665.176
1月17日,4202.85,1178.13,,665.176
1月17日,4071.51,695.05,,560.12
1月17日,3677.49,900.27,,560.12
1月17日,3940.17,389.19,,665.176
1月17日,4027.73,475.78,,665.176
1月17日,3852.61,637.9,,665.176
1月17日,3502.37,790.23,,665.176
1月17日,3502.37,900.71,,210.112
1月17日,2101.42,582.54,,210.112
1月17日,1576.07,764.59,,0
1月17日,1576.07,875.56,,0
1月17日,166.36,811.66,,0
1月17日,166.36,885.06,,0
1月17日,166.36,947.65,,0
1月18日,166.36,1003.39,,0
1月18日,166.36,1050.12,,0
1月18日,166.36,1100.14,,0
1月18日,166.36,1143.56,,0
1月18日,166.36,1179.65,,0
1月18日,166.36,1208.1,,0
1月18日,166.36,3416.61,,70.082
1月18日,166.36,3481.9,,350.142
1月18日,3064.57,3554.26,,665.176
1月18日,4071.51,3070.05,,665.176
1月18日,4202.85,2402.77,,665.176
1月18日,4071.51,2753.84,,560.12
1月18日,3677.49,1949.6,,560.12
1月18日,3940.17,1201.79,,665.176
1月18日,4027.73,2024.47,,665.176
1月18日,3852.61,2219.28,,665.176
1月18日,3502.37,1767.8,,665.176
1月18日,3502.37,1945.3,,210.112
1月18日,2101.42,1101.53,,210.112
1月18日,1576.07,1235.14,,0
1月18日,1576.07,1287.43,,0
1月18日,166.36,1149.71,,0
1月18日,166.36,1189.35,,0
1月18日,166.36,1227.98,,0
1月19日,166.36,1246.02,,0
1月19日,166.36,1270.06,,0
1月19日,166.36,1285.34,,0
1月19日,166.36,1321.2,,0
1月19日,166.36,1346.69,,0
1月19日,166.36,1378.87,,0
1月19日,166.36,3730.18,,70.082
1月19日,166.36,3806.18,,350.142
1月19日,3064.57,3557.5,,665.176
1月19日,4071.51,3553.6,,665.176
1月19日,4202.85,3348.96,,665.176
1月19日,4071.51,1253.29,,560.12
1月19日,3677.49,1757.62,,560.12
1月19日,3940.17,669.51,,665.176
1月19日,4027.73,974.89,,665.176
1月19日,3852.61,1400.94,,665.176
1月19日,3502.37,693.6,,665.176
1月19日,3502.37,1571.97,,210.112
1月19日,2101.42,952.36,,210.112
1月19日,1576.07,1077.71,,0
1月19日,1576.07,1179.59,,0
1月19日,166.36,1061.14,,0
1月19日,166.36,1112.05,,0
1月19日,166.36,1160.17,,0
1月20日,166.36,1185.44,,0
1月20日,166.36,1223.34,,0
1月20日,166.36,1249.58,,0
1月20日,166.36,1295.51,,0
1月20日,166.36,1350.5,,0
1月20日,166.36,1407.26,,0
1月20日,166.36,3900.82,,70.082
1月20日,166.36,3974.71,,350.142
1月20日,3064.57,3698.51,,665.176
1月20日,4071.51,2213.41,,665.176
